_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
6443d8d770e2cbb2440e2ee2,56,0,0,0,0,0,0,1,0,0,261,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee3,57,1,0,1,1,0,0,1,0,0,149,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee4,37,1,0,1,0,2,0,1,0,0,226,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee5,40,2,0,2,0,0,0,1,0,0,151,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee6,56,1,0,1,0,0,2,1,0,0,307,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee7,45,1,0,3,1,0,0,1,0,0,198,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee8,59,2,0,4,0,0,0,1,0,0,139,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ee9,41,3,0,5,1,0,0,1,0,0,217,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2eea,24,4,1,4,0,2,0,1,0,0,380,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2eeb,25,1,1,1,0,2,0,1,0,0,50,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2eec,41,3,0,5,1,0,0,1,0,0,55,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2eed,25,1,1,1,0,2,0,1,0,0,222,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2eee,29,3,1,1,0,0,2,1,0,0,137,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2eef,57,0,2,0,0,2,0,1,0,0,293,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef0,35,3,0,2,0,2,0,1,0,0,146,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef1,54,5,0,3,1,2,2,1,0,0,174,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef2,35,3,0,2,0,2,0,1,0,0,312,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef3,46,3,0,2,1,2,2,1,0,0,440,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef4,50,3,0,3,0,2,2,1,0,0,353,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef5,39,6,1,3,1,0,0,1,0,0,195,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef6,30,7,0,1,0,0,0,1,0,0,38,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef7,55,3,0,0,1,2,0,1,0,0,262,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef8,55,5,1,1,0,2,0,1,0,0,342,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2ef9,41,4,1,1,0,2,0,1,0,0,181,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2efa,37,2,0,1,0,2,0,1,0,0,172,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2efb,35,4,0,6,0,0,2,1,0,0,99,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2efc,59,4,0,5,0,2,0,1,0,0,93,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
6443d8d770e2cbb2440e2efd,39,8,0,3,1,0,0,1,0,0,233,1,999,0,0,1.1,93.994,-36.4,4.857,5191.0,0
